staff_id,pay_month,base_salary,bonus,deductions
E0060,2025-03-01,224283,0,20526
E0061,2025-03-01,159021,0,20702
E0062,2025-03-01,58659,10842,8013
E0063,2025-03-01,220193,27962,26307
E0064,2025-03-01,101190,0,13218
E0065,2025-03-01,109351,0,13175
E0066,2025-03-01,246524,0,29061
E0067,2025-03-01,247420,45558,20343
E0068,2025-03-01,203855,33707,21652
E0069,2025-03-01,194609,22824,20686
E0070,2025-03-01,213325,0,26825
E0071,2025-03-01,91857,7052,10749
E0072,2025-03-01,151447,0,20132
E0073,2025-03-01,70087,8372,8217
E0074,2025-03-01,182753,0,16605
E0075,2025-03-01,98932,0,8138
E0076,2025-03-01,209773,0,20316
E0077,2025-03-01,79056,10996,9633
E0078,2025-03-01,109633,0,11858
E0079,2025-03-01,77286,0,6941
E0080,2025-03-01,58719,0,7071
E0081,2025-03-01,55633,0,5626
E0082,2025-03-01,83495,0,9097
E0083,2025-03-01,247782,0,30680
E0084,2025-03-01,120638,0,17602
E0085,2025-03-01,195987,0,25232
E0086,2025-03-01,236334,0,31387
E0087,2025-03-01,189214,0,26495
E0088,2025-03-01,115657,0,13806
E0089,2025-03-01,155121,0,16627
E0090,2025-03-01,72598,0,10494
E0091,2025-03-01,162866,0,13617
E0092,2025-03-01,220532,0,31129
E0093,2025-03-01,119715,0,13595
E0094,2025-03-01,223430,0,21187
E0095,2025-03-01,145515,23460,20956
E0096,2025-03-01,111367,17325,16043
E0097,2025-03-01,171195,28474,19283
E0098,2025-03-01,181552,0,21041
E0099,2025-03-01,169445,10979,22589
E0100,2025-03-01,154755,0,16864
E0101,2025-03-01,61087,0,4956
E0102,2025-03-01,196771,27077,19808
E0103,2025-03-01,50449,0,5799
E0104,2025-03-01,153253,0,20449
E0105,2025-03-01,232553,36867,26106
E0106,2025-03-01,124494,0,16237
E0107,2025-03-01,198259,0,23132
E0108,2025-03-01,105632,0,14102
E0109,2025-03-01,46780,0,3965
E0110,2025-03-01,63940,5295,6786
E0111,2025-03-01,100011,15003,12616
E0113,2025-03-01,190784,0,22333
E0114,2025-03-01,193910,0,22330
E0115,2025-03-01,45438,0,3975
E0116,2025-03-01,240477,0,29671
E0117,2025-03-01,216234,22308,18495
E0118,2025-03-01,110650,0,16522
E0119,2025-03-01,191059,0,24028
E0120,2025-03-01,50546,0,5478
E0001,2025-04-01,191262,0,24711
E0002,2025-04-01,205005,0,24521
E0003,2025-04-01,219949,0,21134
E0004,2025-04-01,54053,8316,5350
E0005,2025-04-01,79774,0,11404
E0006,2025-04-01,79111,0,6416
E0007,2025-04-01,187545,13434,27198
E0008,2025-04-01,119648,16104,15242
E0009,2025-04-01,62329,0,8435
E0010,2025-04-01,105061,0,8800
E0011,2025-04-01,71051,0,8694
E0012,2025-04-01,186295,0,15290
E0013,2025-04-01,240394,47811,23071
E0014,2025-04-01,149097,0,19022
E0015,2025-04-01,198942,0,27029
E0016,2025-04-01,196271,0,20922
E0017,2025-04-01,247287,18087,25265
E0018,2025-04-01,202114,0,22461
E0019,2025-04-01,99162,0,9234
E0020,2025-04-01,243343,32416,21227
E0021,2025-04-01,176989,0,24860
E0023,2025-04-01,158099,0,18978
E0024,2025-04-01,156056,0,15422
E0025,2025-04-01,117949,0,13025
E0026,2025-04-01,194278,0,20453
E0027,2025-04-01,152415,24102,18529
E0028,2025-04-01,120053,0,9661
E0029,2025-04-01,189062,33321,25766
E0030,2025-04-01,202798,0,20489
E0031,2025-04-01,55789,8608,5690
E0032,2025-04-01,199811,0,26263
E0033,2025-04-01,234009,0,24059
E0034,2025-04-01,66013,0,5807
E0035,2025-04-01,239946,0,30646
E0036,2025-04-01,94470,18228,13793
E0037,2025-04-01,203975,0,28011
E0038,2025-04-01,95318,10616,8554
E0039,2025-04-01,109375,0,14226
E0040,2025-04-01,213127,13021,25737
E0041,2025-04-01,61282,11553,7235
E0042,2025-04-01,81171,0,7115
E0043,2025-04-01,102879,0,12890
E0044,2025-04-01,85564,16902,12636
E0045,2025-04-01,184701,0,14912
E0046,2025-04-01,59677,0,6636
E0047,2025-04-01,81034,0,8440
E0049,2025-04-01,147090,0,12962
E0050,2025-04-01,158096,0,16444
E0051,2025-04-01,220714,0,25014
E0052,2025-04-01,195664,0,16573
E0053,2025-04-01,163184,0,22755
E0054,2025-04-01,116351,0,16882
E0055,2025-04-01,48556,0,5009
E0056,2025-04-01,100680,12012,12493
E0057,2025-04-01,115524,17166,9478
E0058,2025-04-01,225324,17935,24159
E0059,2025-04-01,114112,0,13741
E0060,2025-04-01,224283,0,23061
E0061,2025-04-01,159021,14209,18596
E0062,2025-04-01,58659,8186,7103
E0063,2025-04-01,220193,0,30158
E0064,2025-04-01,101190,0,12856
E0065,2025-04-01,109351,0,10149
E0066,2025-04-01,246524,31216,30014
E0067,2025-04-01,247420,28071,30800
E0068,2025-04-01,203855,0,24227
E0069,2025-04-01,194609,0,27039
E0070,2025-04-01,213325,0,24303
E0071,2025-04-01,91857,9883,9979
E0072,2025-04-01,151447,23705,17297
E0073,2025-04-01,70087,0,7040
E0074,2025-04-01,182753,0,24608
E0075,2025-04-01,98932,16411,11722
E0076,2025-04-01,209773,0,24741
E0077,2025-04-01,79056,12965,9348
E0078,2025-04-01,109633,0,11055
E0079,2025-04-01,77286,0,10847
E0080,2025-04-01,58719,0,7886
E0081,2025-04-01,55633,0,7804
E0082,2025-04-01,83495,0,11267
E0083,2025-04-01,247782,0,29055
E0084,2025-04-01,120638,0,12094
E0085,2025-04-01,195987,0,17539
E0086,2025-04-01,236334,0,35326
E0087,2025-04-01,189214,0,18444
E0088,2025-04-01,115657,20156,13215
E0089,2025-04-01,155121,14009,16483
E0090,2025-04-01,72598,0,7855
E0091,2025-04-01,162866,0,18213
E0092,2025-04-01,220532,0,28926
E0093,2025-04-01,119715,0,16701
E0094,2025-04-01,223430,24501,30775
E0095,2025-04-01,145515,0,15082
E0096,2025-04-01,111367,15026,15055
E0097,2025-04-01,171195,0,14889
E0098,2025-04-01,181552,0,26336
E0099,2025-04-01,169445,20075,15955
E0100,2025-04-01,154755,0,14103
E0101,2025-04-01,61087,0,5958
E0102,2025-04-01,196771,0,16455
E0103,2025-04-01,50449,0,5552
E0104,2025-04-01,153253,0,17375
E0105,2025-04-01,232553,19518,18755
E0106,2025-04-01,124494,21483,16008
E0107,2025-04-01,198259,0,26002
E0108,2025-04-01,105632,0,9465
E0109,2025-04-01,46780,0,5843
E0110,2025-04-01,63940,0,7847
E0111,2025-04-01,100011,0,12398
E0112,2025-04-01,216763,24225,30390
E0113,2025-04-01,190784,0,23136
E0114,2025-04-01,193910,0,26251
E0115,2025-04-01,45438,0,5395
E0116,2025-04-01,240477,0,33511
E0117,2025-04-01,216234,0,28618
E0118,2025-04-01,110650,0,12685
E0119,2025-04-01,191059,0,22350
E0120,2025-04-01,50546,0,4511
E0001,2025-05-01,191262,0,22616
E0002,2025-05-01,205005,0,16640
E0003,2025-05-01,219949,0,31800
E0004,2025-05-01,54053,0,6703
E0005,2025-05-01,79774,8960,6842
E0006,2025-05-01,79111,0,6792
E0007,2025-05-01,187545,0,22045
E0008,2025-05-01,119648,0,12170
E0009,2025-05-01,62329,0,5239
E0010,2025-05-01,105061,12100,12908
E0011,2025-05-01,71051,0,6278
E0012,2025-05-01,186295,0,21377
E0013,2025-05-01,240394,0,22041
E0014,2025-05-01,149097,0,19577
E0015,2025-05-01,198942,0,27155
E0016,2025-05-01,196271,0,22518
E0017,2025-05-01,247287,0,26148
E0018,2025-05-01,202114,0,19401
E0019,2025-05-01,99162,0,9630
E0020,2025-05-01,243343,0,22516
E0021,2025-05-01,176989,9788,16941
E0022,2025-05-01,139713,0,13830
E0023,2025-05-01,158099,0,14633
E0024,2025-05-01,156056,30776,13237
E0025,2025-05-01,117949,0,12138
E0026,2025-05-01,194278,0,19508
E0027,2025-05-01,152415,0,17143
E0028,2025-05-01,120053,0,15760
E0029,2025-05-01,189062,0,15209
E0030,2025-05-01,202798,0,25252
E0031,2025-05-01,55789,0,4469
E0032,2025-05-01,199811,0,17439
E0033,2025-05-01,234009,20060,34466
E0034,2025-05-01,66013,0,5711
E0035,2025-05-01,239946,44292,30967
E0036,2025-05-01,94470,0,11398
E0037,2025-05-01,203975,29695,17386
E0038,2025-05-01,95318,0,9205
E0039,2025-05-01,109375,10637,14115
E0040,2025-05-01,213127,0,20535
E0041,2025-05-01,61282,0,5569
E0042,2025-05-01,81171,9733,7180
E0043,2025-05-01,102879,17032,10451
E0044,2025-05-01,85564,0,11682
E0045,2025-05-01,184701,0,17556
E0046,2025-05-01,59677,0,8820
E0047,2025-05-01,81034,0,7958
E0048,2025-05-01,40701,2225,5691
E0049,2025-05-01,147090,0,16525
E0050,2025-05-01,158096,0,13330
E0051,2025-05-01,220714,0,30383
E0052,2025-05-01,195664,0,23629
E0053,2025-05-01,163184,0,24445
E0054,2025-05-01,116351,0,10057
E0055,2025-05-01,48556,0,4030
E0056,2025-05-01,100680,7571,13845
E0057,2025-05-01,115524,6287,10639
E0058,2025-05-01,225324,0,25061
E0059,2025-05-01,114112,0,14299
E0060,2025-05-01,224283,40913,18900
E0061,2025-05-01,159021,0,19875
E0062,2025-05-01,58659,0,8755
E0063,2025-05-01,220193,22871,22918
E0064,2025-05-01,101190,0,9369
E0065,2025-05-01,109351,0,9197
E0066,2025-05-01,246524,0,36530
E0067,2025-05-01,247420,0,29037
E0068,2025-05-01,203855,0,24523
E0069,2025-05-01,194609,0,17968
E0070,2025-05-01,213325,0,30714
E0072,2025-05-01,151447,0,18085
E0073,2025-05-01,70087,13891,8267
E0074,2025-05-01,182753,0,17596
E0075,2025-05-01,98932,0,10212
E0076,2025-05-01,209773,0,27309
E0077,2025-05-01,79056,0,6654
E0078,2025-05-01,109633,0,14713
E0079,2025-05-01,77286,0,8204
E0080,2025-05-01,58719,0,6081
E0081,2025-05-01,55633,10925,7534
E0082,2025-05-01,83495,0,10813
E0083,2025-05-01,247782,0,23695
E0084,2025-05-01,120638,0,15849
E0085,2025-05-01,195987,0,28695
E0086,2025-05-01,236334,0,21919
E0087,2025-05-01,189214,0,23609
E0088,2025-05-01,115657,0,15287
E0089,2025-05-01,155121,0,19318
E0090,2025-05-01,72598,0,8078
E0091,2025-05-01,162866,0,17025
E0092,2025-05-01,220532,0,23600
E0093,2025-05-01,119715,23388,13709
E0094,2025-05-01,223430,0,30837
E0095,2025-05-01,145515,0,13298
E0096,2025-05-01,111367,0,9066
E0097,2025-05-01,171195,0,15734
E0098,2025-05-01,181552,0,18819
E0099,2025-05-01,169445,0,18672
E0100,2025-05-01,154755,21836,14082
E0101,2025-05-01,61087,0,6637
E0102,2025-05-01,196771,0,24841
E0103,2025-05-01,50449,3248,6055
E0104,2025-05-01,153253,0,12301
E0105,2025-05-01,232553,40368,21855
E0107,2025-05-01,198259,0,22433
E0108,2025-05-01,105632,17718,12067
E0109,2025-05-01,46780,2979,4348
E0110,2025-05-01,63940,6740,5315
E0111,2025-05-01,100011,0,11951
E0112,2025-05-01,216763,0,18642
E0113,2025-05-01,190784,0,22656
E0114,2025-05-01,193910,33500,28620
E0115,2025-05-01,45438,0,5150
E0116,2025-05-01,240477,0,27690
E0117,2025-05-01,216234,0,19119
E0118,2025-05-01,110650,0,16382
E0119,2025-05-01,191059,13169,16333
E0120,2025-05-01,50546,0,6995
E0001,2025-06-01,191262,0,16466
E0002,2025-06-01,205005,0,23858
E0003,2025-06-01,219949,11405,19328
E0004,2025-06-01,54053,0,7824
E0005,2025-06-01,79774,0,11226
E0006,2025-06-01,79111,0,8450
E0007,2025-06-01,187545,0,17264
E0008,2025-06-01,119648,17078,9897
E0009,2025-06-01,62329,0,5201
E0010,2025-06-01,105061,0,8554
E0011,2025-06-01,71051,0,9876
E0012,2025-06-01,186295,0,16656
E0013,2025-06-01,240394,0,23765
E0014,2025-06-01,149097,0,16538
E0015,2025-06-01,198942,22098,26492
E0016,2025-06-01,196271,0,16603
E0017,2025-06-01,247287,0,22790
E0018,2025-06-01,202114,0,19699
E0019,2025-06-01,99162,0,9835
E0020,2025-06-01,243343,0,31071
E0021,2025-06-01,176989,21826,16359
E0022,2025-06-01,139713,0,14544
E0023,2025-06-01,158099,0,15803
E0024,2025-06-01,156056,0,21847
E0025,2025-06-01,117949,0,14816
E0026,2025-06-01,194278,0,21990
E0027,2025-06-01,152415,0,14581
E0028,2025-06-01,120053,0,13166
E0029,2025-06-01,189062,0,18013
E0030,2025-06-01,202798,25978,24521
E0032,2025-06-01,199811,0,23838
E0033,2025-06-01,234009,0,26612
E0034,2025-06-01,66013,0,9262
E0035,2025-06-01,239946,0,22359
E0036,2025-06-01,94470,0,12884
E0037,2025-06-01,203975,0,26038
E0038,2025-06-01,95318,0,9356
E0039,2025-06-01,109375,0,13214
E0040,2025-06-01,213127,0,27889
E0041,2025-06-01,61282,7979,8791
E0042,2025-06-01,81171,0,11270
E0043,2025-06-01,102879,0,11621
E0044,2025-06-01,85564,0,12517
E0045,2025-06-01,184701,0,19370
E0046,2025-06-01,59677,0,6327
E0047,2025-06-01,81034,0,9152
E0048,2025-06-01,40701,0,4601
E0049,2025-06-01,147090,9998,17223
E0050,2025-06-01,158096,0,14168
E0051,2025-06-01,220714,24583,19870
E0052,2025-06-01,195664,0,22331
E0053,2025-06-01,163184,0,13109
E0054,2025-06-01,116351,0,14002
E0055,2025-06-01,48556,0,4324
E0056,2025-06-01,100680,11519,14858
E0057,2025-06-01,115524,0,15151
E0058,2025-06-01,225324,0,18309
E0060,2025-06-01,224283,0,22842
E0061,2025-06-01,159021,0,14581
E0062,2025-06-01,58659,0,6565
E0063,2025-06-01,220193,28321,31302
E0064,2025-06-01,101190,10262,10640
E0065,2025-06-01,109351,21019,8894
E0066,2025-06-01,246524,0,32390
E0067,2025-06-01,247420,0,32110
E0068,2025-06-01,203855,0,27314
E0069,2025-06-01,194609,0,24586
E0070,2025-06-01,213325,0,23290
E0071,2025-06-01,91857,12134,11862
E0072,2025-06-01,151447,0,15308
E0073,2025-06-01,70087,0,8662
E0074,2025-06-01,182753,0,21165
E0075,2025-06-01,98932,0,11362
E0076,2025-06-01,209773,0,22038
E0077,2025-06-01,79056,5855,11362
E0078,2025-06-01,109633,0,8792
E0079,2025-06-01,77286,14378,6990
E0080,2025-06-01,58719,0,8416
E0081,2025-06-01,55633,0,5479
E0082,2025-06-01,83495,0,11661
E0083,2025-06-01,247782,37543,32632
E0084,2025-06-01,120638,0,9733
E0085,2025-06-01,195987,0,20584
E0086,2025-06-01,236334,0,25071
E0087,2025-06-01,189214,12691,27883
E0088,2025-06-01,115657,12474,15729
E0089,2025-06-01,155121,0,13849
E0090,2025-06-01,72598,0,6335
E0091,2025-06-01,162866,19935,15096
E0092,2025-06-01,220532,0,30958
E0093,2025-06-01,119715,0,13625
E0094,2025-06-01,223430,40919,18593
E0095,2025-06-01,145515,0,21602
E0096,2025-06-01,111367,0,12284
E0097,2025-06-01,171195,20935,15477
E0098,2025-06-01,181552,0,14672
E0099,2025-06-01,169445,21322,23660
E0100,2025-06-01,154755,9476,15854
E0101,2025-06-01,61087,0,7241
E0102,2025-06-01,196771,0,22065
E0103,2025-06-01,50449,5913,5615
E0104,2025-06-01,153253,0,13361
E0105,2025-06-01,232553,0,32049
E0106,2025-06-01,124494,0,17716
E0107,2025-06-01,198259,29380,29050
E0108,2025-06-01,105632,0,14694
E0109,2025-06-01,46780,7724,6089
E0110,2025-06-01,63940,0,8514
E0111,2025-06-01,100011,0,11835
E0112,2025-06-01,216763,0,24813
E0113,2025-06-01,190784,30788,16691
E0114,2025-06-01,193910,15150,18439
E0115,2025-06-01,45438,0,3978
E0116,2025-06-01,240477,0,32236
E0117,2025-06-01,216234,0,31888
E0119,2025-06-01,191059,25408,26503
E0120,2025-06-01,50546,0,6491
E0001,2025-07-01,191262,0,20488
E0002,2025-07-01,205005,37394,22408
E0003,2025-07-01,219949,0,21808
E0004,2025-07-01,54053,10571,7369
E0005,2025-07-01,79774,0,11090
E0006,2025-07-01,79111,0,7441
E0007,2025-07-01,187545,0,27097
E0008,2025-07-01,119648,0,13792
E0009,2025-07-01,62329,0,8306
E0010,2025-07-01,105061,14438,13363
E0011,2025-07-01,71051,9243,9704
E0012,2025-07-01,186295,0,15596
E0013,2025-07-01,240394,0,35782
E0014,2025-07-01,149097,0,19135
E0015,2025-07-01,198942,0,20910
